language,family,subfamily,concept,ipa
abk,Abkhaz-Adyge,Abkhaz-Abaza,1000_know,ɑ d ɨ r r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1001_remember,ɑ g ə ɑ l ɑ r ʂ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1002_forget,ɑ χ ɑ ʂ tʰ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1003_measure,ɑ ʂ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1004_count,ɑ pʰ χʲ e dz ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1005_calculate,ɑ ħ ɑ s ɑ b r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1006_read,ɑ pʰ χʲ e r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,100_source,ɑ tsʼ tsʼ ɨ r tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1010_own,ɑ m ɑ z ɑː r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1011_buy,ɑː χ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1012_sell,ɑ tʰ i r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1013_payfor,ɑ χ tʰ ɨ n tsʼ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1013_payfor,ɑ ʂ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1014_pay,ɑ ʂ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1016_endure,ɑ tʃʰ ħ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,101_brook,ɑ kʼ ə ɑ r ɑ tʃʼ tʃʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,102_river,ɑ dz i ɑ s
abk,Abkhaz-Adyge,Abkhaz-Abaza,103_shore,ɑ χ ɨ kʰ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,104_coast,ɑ χ ɨ kʰ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,105_land,ɑ b ɑ r r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,106_sea,ɑ m ʂ ɨ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,107_covebay,ɑ dz b ʒ ɑ χ ɑ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,108_island,ɑ d gʲ i l b ʒ ɑ χ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,109_flower,ɑ ʂ ə tʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,10_forehead,ɑ l ɑ χʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,110_grass,ɑ ħ ɑ s ɑ k’ʲ i n
abk,Abkhaz-Adyge,Abkhaz-Abaza,111_root,ɑ d ɑ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,112_tree,ɑ tsʼ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,113_trunk,ɑ ʃ ɑ pʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,114_bark,ɑ tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,115_limb,ɑ m ɑ χ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,115_limb,ɑ m ɑ χ ə tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,116_twig,ɑ m ɑ χ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,116_twig,ɑ m ɑ χ ə tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,117_leaf,ɑ b ʁʲ i
abk,Abkhaz-Adyge,Abkhaz-Abaza,118_birch,ɑ tsʼ ɑ ɑ tsʼ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,119_pine,ɑ m z ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,11_hair,ɑ χ ə ɨ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,120_willow,ɑ pʰ s l ɨ ʂ
abk,Abkhaz-Adyge,Abkhaz-Abaza,121_fir,ɑ pʰ s ɑ dz
abk,Abkhaz-Adyge,Abkhaz-Abaza,122_horn,ɑ tʼ ə ɨ ɥ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,123_feather,ɑ χ dz ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,124_fur,ɑ tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,125_wing,ɑ m tsʼ ə ɨ ʐ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,126_claw,ɑ ʃ ɑ pʼ χ ɨ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,128_tail,ɑ tsʼ ɨ χ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,129_egg,ɑ kʼ ə tʼ ɑ ʁʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,12_moustache,ɑ pʰ ɑ tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,130_nest,ɑ tʰ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,130_nest,ɑ tsʼ ɨ s tʰ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,131_lair,ɑ tʰ ɨ ɥ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,132_animal,ɑ pʰ s tʼ ə ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,132_animal,ɑ g ɨ g ʂ ə ɨ g
abk,Abkhaz-Adyge,Abkhaz-Abaza,133_flock,ɑ g ə ɑ r tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,134_cow,ɑ ʐ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,135_bull,ɑ tsʰ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,136_horse,ɑ ʈʂʰ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,137_sheep,ɑ u ɑ s ɑ
